[2024-10-12 17:56:00] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-12 17:56:13] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.css
[2024-10-12 17:56:13] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.min.css
[2024-10-12 17:56:13] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.css
[2024-10-12 17:56:13] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.min.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.min.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.min.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.min.css
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2024-10-12 17:56:14] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.css
[2024-10-12 17:56:15] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/cobbyWorld/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
